,AMERICAN EXPRESS CO,BANK OF NEW YORK MELLON CORP,CHICAGO BRIDGE & IRON CO N V,COCA COLA CO,CONOCOPHILLIPS,COSTCO WHSL CORP NEW,DAVITA HEALTHCARE PARTNERS I,DEERE & CO,DIRECTV,DISH NETWORK CORP,GENERAL ELECTRIC CO,GENERAL MTRS CO,GLAXOSMITHKLINE PLC,INTERNATIONAL BUSINESS MACHS,JOHNSON & JOHNSON,KRAFT FOODS GROUP INC,LEE ENTERPRISES INC,LIBERTY MEDIA CORP DELAWARE,M & T BK CORP,MASTERCARD INC,MEDIA GEN INC,MONDELEZ INTL INC,MOODYS CORP,NATIONAL OILWELL VARCO INC,PHILLIPS 66,PRECISION CASTPARTS CORP,PROCTER & GAMBLE CO,SANOFI,STARZ,SUNCOR ENERGY INC NEW,TORCHMARK CORP,U S G CORP,UNITED PARCEL SERVICE INC,US BANCORP DEL,VERISIGN INC,VERISK ANALYTICS INC,VIACOM INC NEW,VISA INC,WABCO HLDGS INC,WAL MART STORES INC,WASHINGTON POST CO,WELLS FARGO & CO NEW,EXXON MOBIL CORP,GOLDMAN SACHS GROUP INC,GRAHAM HLDGS CO,LIBERTY GLOBAL PLC,VERIZON COMMUNICATIONS INC,CHARTER COMMUNICATIONS INC D,NOW INC,EXPRESS SCRIPTS HLDG CO,MEDIA GEN INC NEW,RESTAURANT BRANDS INTL INC,TWENTY FIRST CENTY FOX INC,AXALTA COATING SYS LTD,AT&T INC,KRAFT HEINZ CO,KINDER MORGAN INC DEL,APPLE INC,CHARTER COMMUNICATIONS INC N,AMERICAN AIRLS GROUP INC,DELTA AIR LINES INC DEL,MOSANTO CO NEW,SIRIUS XM HLDGS INC,SOUTHWEST AIRLS CO,UNITED CONTL HLDGS INC,STORE CAP CORP,SYNCHRONY FINL,BANK AMER CORP,TEVA PHARMACEUTICAL INDS LTD,LIBERTY LATIN AMERICA LTD,JPMORGAN CHASE & CO,ORACLE CORP,PNC FINL SVCS GROUP INC,TRAVELERS COMPANIES INC,RED HAT INC,STONECO LTD,AMAZON COM INC,GLOBE LIFE INC,OCCIDENTAL PETE CORP,RH,BIOGEN INC,KROGER CO,SPDR S&P 500 ETF TR,VANGUARD INDEX FDS
2018-QTR2.tsv,151610700,50229588,0.0,400000000,0.0,4333363,38565570,0.0,0.0,0.0,0.0,60000000,0.0,54084673.0,327100,0.0,0.0,45951345,5382040,4934756,0.0,578000,24669778,0.0,80689892.0,0.0,315400,3905875.0,0.0,0.0,6353727.0,39002016.0,59400,85063167,12952745,1563434.0,0.0,10562460,63195.0,1393513.0,0.0,467987270,0.0,10959519.0,107575.0,31526739.0,928.0,0.0,0.0,0.0,0.0,8438225.0,0.0,23324000.0,0.0,325634818.0,0.0,130191960.0,9443491.0,47000000.0,53110395.0,8041784.0,137915729.0,47659456.0,28211563.0,18621674.0,17463000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-QTR3.tsv,151610700,50229588,0.0,400000000,0.0,4333363,38565570,0.0,0.0,0.0,0.0,60000000,0.0,37026698.0,327100,0.0,0.0,45951345,5382040,4934756,0.0,578000,24669778,0.0,80689892.0,0.0,315400,3905875.0,0.0,0.0,6353727.0,39002016.0,59400,85063167,12952745,1563434.0,0.0,10562460,0.0,1393513.0,0.0,464232268,0.0,10959519.0,107575.0,31526739.0,928.0,0.0,0.0,0.0,0.0,8438225.0,0.0,23324000.0,0.0,325634818.0,0.0,134092782.0,8489391.0,47000000.0,53110395.0,8873469.0,137915729.0,47659456.0,28211563.0,18621674.0,20803000.0,679000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-QTR4.tsv,151610700,60818783,0.0,400000000,0.0,4333363,38565570,0.0,0.0,0.0,0.0,50000000,0.0,2048045.0,327100,0.0,0.0,45951345,5382040,4934756,0.0,578000,24669778,0.0,80689892.0,0.0,315400,3878524.0,0.0,0.0,6353727.0,39002016.0,59400,87058877,12952745,1563434.0,0.0,10562460,0.0,1393513.0,0.0,458232268,0.0,10959519.0,107575.0,31526739.0,928.0,0.0,0.0,0.0,0.0,8438225.0,0.0,23324000.0,0.0,325634818.0,0.0,165333962.0,8489391.0,46000000.0,53110395.0,11708747.0,137915729.0,47659456.0,28211563.0,18621674.0,20803000.0,679000000.0,18875721.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-QTR1.tsv,151610700,62191448,0.0,400000000,0.0,4333363,38565570,0.0,0.0,0.0,0.0,50000000,0.0,0.0,327100,0.0,0.0,45951345,5382040,4934756,0.0,578000,24669778,0.0,45689892.0,0.0,315400,3701012.0,0.0,0.0,6353727.0,39002016.0,59400,90847721,12952745,284778.0,0.0,10562460,0.0,1393513.0,0.0,456513244,0.0,10959519.0,0.0,25553376.0,928.0,0.0,0.0,0.0,0.0,8438225.0,0.0,23324000.0,0.0,325634818.0,0.0,239567633.0,8222873.0,46000000.0,53599357.0,18970134.0,137915729.0,47659456.0,27705963.0,18621674.0,20803000.0,679000000.0,40539710.0,3998874.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-QTR2.tsv,151610700,64800376,0.0,400000000,0.0,4333363,38565570,0.0,0.0,0.0,0.0,51393611,0.0,0.0,327100,0.0,0.0,45951345,5382040,4934756,0.0,578000,24669778,0.0,34729514.0,0.0,315400,3701012.0,0.0,0.0,6353727.0,39002016.0,59400,100693874,12952745,0.0,0.0,10562460,0.0,1393513.0,0.0,452013758,0.0,13254490.0,0.0,27137968.0,928.0,0.0,0.0,0.0,0.0,8438225.0,0.0,24264000.0,0.0,325634818.0,0.0,251955877.0,7504185.0,44700000.0,63665840.0,0.0,137915729.0,56547399.0,26684542.0,18621674.0,20803000.0,679000000.0,43249295.0,3998874.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-QTR3.tsv,151610700,77849476,0.0,400000000,0.0,4333363,38565570,0.0,0.0,0.0,0.0,52461411,0.0,0.0,327100,0.0,0.0,45951345,5382040,4934756,0.0,578000,24669778,0.0,15433024.0,0.0,315400,0.0,0.0,0.0,6353727.0,39002016.0,59400,124923092,12952745,0.0,0.0,10562460,0.0,0.0,0.0,442361700,0.0,18353635.0,0.0,27137968.0,928.0,0.0,0.0,0.0,0.0,8438225.0,0.0,24264000.0,0.0,325634818.0,0.0,252478779.0,7340985.0,43700000.0,65535000.0,0.0,137915729.0,56047399.0,25984542.0,18621674.0,20803000.0,877248600.0,43249295.0,3998874.0,35664767.0,41404791.0,6087319.0,3543688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-QTR4.tsv,151610700,80937250,0.0,400000000,0.0,4333363,38565570,0.0,0.0,0.0,0.0,72269696,0.0,0.0,327100,0.0,0.0,45951345,5382040,4934756,0.0,578000,24669778,0.0,11895842.0,0.0,315400,0.0,0.0,10758000.0,6353727.0,39002016.0,59400,129308831,12952745,0.0,0.0,10562460,0.0,0.0,0.0,426768902,0.0,18353635.0,0.0,27137968.0,928.0,0.0,0.0,0.0,0.0,8438225.0,0.0,24264000.0,0.0,325634818.0,0.0,249589329.0,7033499.0,43700000.0,65535000.0,0.0,137915729.0,54847399.0,21938642.0,18621674.0,20803000.0,896167600.0,43249295.0,3998874.0,50116394.0,0.0,8263062.0,5958391.0,4175792.0,14166748.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-QTR1.tsv,151610700,80937250,0.0,400000000,0.0,4333363,38565570,0.0,0.0,0.0,0.0,72269696,0.0,0.0,327100,0.0,0.0,45951345,5382040,4934756,0.0,578000,24669778,0.0,5552715.0,0.0,315400,0.0,0.0,10758000.0,6353727.0,39002016.0,59400,129308831,12952745,0.0,0.0,10562460,0.0,0.0,0.0,409803773,0.0,18353635.0,0.0,27137968.0,0.0,0.0,0.0,0.0,0.0,8438225.0,0.0,24264000.0,0.0,325634818.0,0.0,249589329.0,5710711.0,43700000.0,70910456.0,0.0,137915729.0,53649213.0,21938642.0,18621674.0,20803000.0,896167600.0,43249295.0,3998874.0,59514932.0,0.0,8671054.0,5958391.0,5110471.0,14166748.0,483300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-QTR2.tsv,151610700,80937250,0.0,400000000,0.0,4333363,38565570,0.0,0.0,0.0,0.0,72269696,0.0,0.0,327100,0.0,0.0,45951345,5382040,4934756,0.0,578000,24669778,0.0,5552715.0,0.0,315400,0.0,0.0,10758000.0,6353727.0,0.0,59400,132459618,12952745,0.0,0.0,10562460,0.0,0.0,0.0,409803773,0.0,18353635.0,0.0,27137968.0,0.0,0.0,0.0,0.0,0.0,8438225.0,0.0,24264000.0,0.0,325634818.0,0.0,249589329.0,5426609.0,43700000.0,70910456.0,0.0,137915729.0,53649213.0,21938642.0,18621674.0,20803000.0,927248600.0,43249295.0,3998874.0,59514932.0,0.0,8671054.0,5958391.0,5171890.0,14166748.0,537300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-QTR3.tsv,151610700,80937250,0.0,400000000,0.0,4333363,38565570,0.0,0.0,0.0,0.0,72269696,0.0,0.0,327100,0.0,0.0,45951345,5382040,4934756,0.0,578000,24669778,0.0,5182637.0,0.0,315400,0.0,0.0,10758000.0,0.0,0.0,59400,132459618,12952745,0.0,0.0,10562460,0.0,0.0,0.0,378369018,0.0,18353635.0,0.0,27137968.0,0.0,0.0,0.0,0.0,0.0,8438225.0,0.0,24264000.0,0.0,325634818.0,0.0,248838679.0,5426609.0,43700000.0,70910456.0,0.0,136275729.0,53649213.0,21938642.0,18621674.0,20803000.0,927248600.0,43249295.0,3998874.0,59514932.0,0.0,8671054.0,5958391.0,0.0,14166748.0,537300.0,6353727.0,7467508.0,1207844.0,0.0,0.0,0.0,0.0
2021-QTR1.tsv,151610700,79765057,0.0,400000000,0.0,4333363,38565570,0.0,0.0,0.0,0.0,75000000,0.0,0.0,327100,0.0,0.0,45951345,5382040,4934756,0.0,578000,24669778,0.0,227436.0,0.0,315400,0.0,0.0,15019031.0,0.0,0.0,59400,132459618,12952745,0.0,0.0,10562460,0.0,0.0,0.0,323212918,0.0,12004751.0,0.0,27137968.0,0.0,0.0,0.0,0.0,0.0,8438225.0,0.0,24264000.0,0.0,325634818.0,0.0,245155566.0,5426609.0,42500000.0,70910456.0,0.0,136275729.0,53649213.0,21938642.0,18621674.0,20803000.0,925008600.0,43249295.0,3998874.0,59514932.0,0.0,8671054.0,312379.0,0.0,14166748.0,537300.0,6353727.0,18933054.0,1708348.0,648447.0,18940079.0,39400.0,43000.0
2021-QTR2.tsv,151610700,79765057,0.0,400000000,0.0,4333363,38095570,0.0,0.0,0.0,0.0,74681000,0.0,0.0,327100,0.0,0.0,45711345,5382040,4934756,0.0,578000,24669778,0.0,0.0,0.0,315400,0.0,0.0,14949031.0,0.0,0.0,59400,132459618,12815613,0.0,0.0,10562460,0.0,0.0,0.0,323212918,0.0,1920180.0,0.0,26656968.0,0.0,0.0,0.0,0.0,0.0,8438225.0,0.0,24070000.0,0.0,325634818.0,0.0,245155566.0,5426609.0,41909000.0,71886963.0,0.0,132418729.0,53642713.0,22157608.0,18621674.0,20128000.0,925008600.0,42789295.0,3914812.0,57714433.0,0.0,9197984.0,0.0,0.0,14166748.0,533300.0,6353727.0,18933054.0,1708348.0,643022.0,18940079.0,39400.0,43000.0
